SALEYEAR,SALETYPE,SALECODE,BOOK,DAY,SALEDATE,HIP,HIPNUM,HORSE,CHORSE,RATING,TATTOO,DATEFOAL,AGE,COLOR,SEX,GAIT,TYPE,RECORD,ET,ELIG,SIRE,CSIRE,DAM,CDAM,SIREOFDAM,CSIREOFDAM,DAMOFDAM,CDAMOFDAM,DAMTATT,DAMYOF,DDAMTATT,BREDTO,LASTBRED,CONSLNAME,CONSNO,PEMCODE,PURFNAME,PURLNAME,SBCITY,SBSTATE,SBCOUNTRY,PRICE,CURRENCY,URL,NFFM,PRIVATESALE,BREED,YEARFOAL,UTT,STATUS,TDAM,tSire,tSireofdam
2024,M,24KEENOVHRA,1,1,2024-11-14,4068,4068,Angel of Light,Angel of Light,,,2020-02-04,4,DB/BR,F,,BRP,,,,City of Light,City of Light,Union Prayer,Union Prayer,,,,,,0,,,1901-01-01,"Taylor Made Sales Agency, Agent XIII ",,,,Cynthia O'Bannon,,,,1500.0,,,,,T,2020,0.0,,Union Prayer,City of Light,
2024,M,24KEENOVHRA,1,1,2024-11-14,4069,4069,Army Times,Army Times,,,2020-03-14,4,B,C,,SRP,,,,Into Mischief,Into Mischief,Paid Up Subscriber,Paid Up Subscriber,,,,,,0,,,1901-01-01,"ELiTE, Agent ",,,,Out,,,,0.0,,,,,T,2020,0.0,,Paid Up Subscriber,Into Mischief,
2024,M,24KEENOVHRA,1,1,2024-11-14,4070,4070,Au Paradis,Au Paradis,,,2020-04-29,4,B    ,C,,SRP,,,,Quality Road,Quality Road,Wonderful (IRE),Wonderful (IRE),,,,,,0,,,1901-01-01,"Denali Stud, Agent III ",,,,Chad Schumer/ KGS,,,,25000.0,,,,,T,2020,0.0,,Wonderful (IRE),Quality Road,
2024,M,24KEENOVHRA,1,1,2024-11-14,4071,4071,Avenue Niel (IRE),Avenue Niel (IRE),,,2019-03-04,5,CH,M,,BRP,,,,Helmet (AUS),Helmet (AUS),Andalouserie (FR),Andalouserie (FR),,,,,,0,,,1901-01-01,"Denali Stud, Agent II ",,,,R. Larry Johnson,,,,210000.0,,,,,T,2019,0.0,,Andalouserie (FR),Helmet (AUS),
2024,M,24KEENOVHRA,1,1,2024-11-14,4072,4072,Awesome Spirit Gal (FR),Awesome Spirit Gal (FR),,,2021-04-23,3,B,F,,BRP,,,,Invincible Spirit (IRE),Invincible Spirit (IRE),Awesome Gal (IRE),Awesome Gal (IRE),,,,,,0,,,1901-01-01,"Hunter Valley Farm, Agent ",,,,Out,,,,0.0,,,,,T,2021,0.0,,Awesome Gal (IRE),Invincible Spirit (IRE),
2024,M,24KEENOVHRA,1,1,2024-11-14,4073,4073,Back to Gridlock,Back to Gridlock,,,2020-04-20,4,DB/BR,F,,BRP,,,,Nyquist,Nyquist,Miss Luna,Miss Luna,,,,,,0,,,1901-01-01,"ELiTE, Agent ",,,,Out,,,,0.0,,,,,T,2020,0.0,,Miss Luna,Nyquist,
2024,M,24KEENOVHRA,1,1,2024-11-14,4074,4074,B D Saints,B D Saints,,,2021-02-22,3,B,C,,SRP,,,,Laoban,Laoban,Winsanity,Winsanity,,,,,,0,,,1901-01-01,"Hill 'n' Dale at Xalapa, Agent ",,,,Out,,,,0.0,,,,,T,2021,0.0,,Winsanity,Laoban,
2024,M,24KEENOVHRA,1,1,2024-11-14,4075,4075,Bedard,Bedard,,,2021-05-04,3,B    ,G,,RP,,,,Nyquist,Nyquist,Reason,Reason,,,,,,0,,,1901-01-01,"Grovendale Sales, Agent I ",,,,Flurry Racing Stable,,,,210000.0,,,,,T,2021,0.0,,Reason,Nyquist,
2024,M,24KEENOVHRA,1,1,2024-11-14,4076,4076,Beuys (IRE),Beuys (IRE),,,2018-04-29,6,B    ,G,,RP,,,,Siyouni (FR),Siyouni (FR),Plain Vanilla (FR),Plain Vanilla (FR),,,,,,0,,,1901-01-01,"Paramount Sales, Agent for Three Diamonds Farm (Partial Racing Dispersal)",,,,"R.N.A. (85,000)",,,,85000.0,,,,,T,2018,0.0,,Plain Vanilla (FR),Siyouni (FR),
2024,M,24KEENOVHRA,1,1,2024-11-14,4077,4077,Blame the Gelato,Blame the Gelato,,,2021-01-25,3,GR/RO,F,,BRP,,,,Blame,Blame,Bianco Tartufo,Bianco Tartufo,,,,,,0,,,1901-01-01,"Hill 'n' Dale at Xalapa, Agent ",,,,Machmer Hall,,,,65000.0,,,,,T,2021,0.0,,Bianco Tartufo,Blame,
2024,M,24KEENOVHRA,1,1,2024-11-14,4078,4078,Boltage,Boltage,,,2021-03-11,3,B,C,,SRP,,,,Bolt d'Oro,Bolt d'Oro,Ultimate Prize,Ultimate Prize,,,,,,0,,,1901-01-01,"Denali Stud, Agent V ",,,,Out,,,,0.0,,,,,T,2021,0.0,,Ultimate Prize,Bolt d'Oro,
2024,M,24KEENOVHRA,1,1,2024-11-14,4079,4079,Bolt to Run,Bolt to Run,,,2022-05-22,2,B,C,,SRP,,,,Bolt d'Oro,Bolt d'Oro,Bonnie Arch,Bonnie Arch,,,,,,0,,,1901-01-01,"ELiTE, Agent ",,,,Out,,,,0.0,,,,,T,2022,0.0,,Bonnie Arch,Bolt d'Oro,
