SALEYEAR,SALETYPE,SALECODE,BOOK,DAY,SALEDATE,HIP,HIPNUM,HORSE,CHORSE,RATING,TATTOO,DATEFOAL,AGE,COLOR,SEX,GAIT,TYPE,RECORD,ET,ELIG,SIRE,CSIRE,DAM,CDAM,SIREOFDAM,CSIREOFDAM,DAMOFDAM,CDAMOFDAM,DAMTATT,DAMYOF,DDAMTATT,BREDTO,LASTBRED,CONSLNAME,CONSNO,PEMCODE,PURFNAME,PURLNAME,SBCITY,SBSTATE,SBCOUNTRY,PRICE,CURRENCY,URL,NFFM,PRIVATESALE,BREED,YEARFOAL,UTT,STATUS,TDAM,tSire,tSireofdam
2022,M,22KEEJAN,1,1,2022-01-10,80,80,Corey Scores,Corey Scores,,,2016-05-13,8,DB/BR,M,,BP,,,,More Than Ready,More Than Ready,St Francis Wood,St Francis Wood,,,,,,0,,,1901-01-01,"Taylor Made Sales Agency, Agent XXX ",,,,"Bradley Thoroughbreds, Agent",,,,19000.0,,,,,T,2016,0.0,,St Francis Wood,More Than Ready,
2022,M,22KEEJAN,1,1,2022-01-10,81,81,Corey's Holiday,Corey's Holiday,,,2014-02-19,10,B,M,,B,,,,Harlan's Holiday,Harlan's Holiday,Self Rising,Self Rising,,,,,,0,,Mastery,2021-02-13,"Sequel New York, Agent ",,,,Usquebaugh Stables,,,,10000.0,,,,,T,2014,0.0,pregnant,Self Rising,Harlan's Holiday,
2022,M,22KEEJAN,1,1,2022-01-10,82,82,Costa Del Sol,Costa Del Sol,,,2015-03-18,9,DB/BR,M,,B,,,,Istan,Istan,Pocho's Dream Girl,Pocho's Dream Girl,,,,,,0,,Always Dreaming,2021-03-28,"Hunter Valley Farm, Agent ",,,,Out,,,,0.0,,,,,T,2015,0.0,pregnant,Pocho's Dream Girl,Istan,
2022,M,22KEEJAN,1,1,2022-01-10,83,83,Don't Touch,Don't Touch,,,2021-05-08,3,CH,F,,Y,,,,Flameaway,Flameaway,Costela,Costela,,,,,,0,,,1901-01-01,"Vinery Sales, Agent XXVII ",,,,Out,,,,0.0,,,,,T,2021,0.0,,Costela,Flameaway,
2022,M,22KEEJAN,1,1,2022-01-10,84,84,Countenance,Countenance,,,2015-05-04,9,DB/BR,M,,B,,,,Bellamy Road,Bellamy Road,Stirling Bridge,Stirling Bridge,,,,,,0,,Vino Rosso,2021-03-03,"4M Ranch, Agent IV ",,,,"R.N.A. (37,000)",,,,37000.0,,,,,T,2015,0.0,pregnant,Stirling Bridge,Bellamy Road,
2022,M,22KEEJAN,1,1,2022-01-10,85,85,Malibu Barbara,Malibu Barbara,,,2020-04-25,4,CH,F,,BP,,,,Malibu Moon,Malibu Moon,Count to Three,Count to Three,,,,,,0,,,1901-01-01,"Taylor Made Sales Agency, Agent LV ",,,,Shannondoe Farm,,,,30000.0,,,,,T,2020,0.0,,Count to Three,Malibu Moon,
2022,M,22KEEJAN,1,1,2022-01-10,86,86,She's Not a Joke,She's Not a Joke,,,2021-03-21,3,B    ,F,,Y,,,,Practical Joke,Practical Joke,Court of Love,Court of Love,,,,,,0,,,1901-01-01,"Sequel New York, Agent ",,,,Tim Martin,,,,77000.0,,,,,T,2021,0.0,,Court of Love,Practical Joke,
2022,M,22KEEJAN,1,1,2022-01-10,87,87,Crazy Mary,Crazy Mary,,,2018-03-09,6,DB/BR,F,,BRP,,,,Super Saver,Super Saver,Mary Delaney,Mary Delaney,,,,,,0,,,1901-01-01,"St George Sales, Agent I ",,,,"Windylea Farm-New York, LLC",,,,32000.0,,,,,T,2018,0.0,,Mary Delaney,Super Saver,
2022,M,22KEEJAN,1,1,2022-01-10,88,88,Jassai,Jassai,,,2021-04-24,3,DB/BR,F,,Y,,,,Tapwrit,Tapwrit,Crown D' Oro,Crown D' Oro,,,,,,0,,,1901-01-01,"Timber Town (Mr. & Mrs. T. Wayne Sweezey), Agent I ",,,,Arga Racing Stable,,,,12000.0,,,,,T,2021,0.0,,Crown D' Oro,Tapwrit,
2022,M,22KEEJAN,1,1,2022-01-10,89,89,Crumbs of Comfort,Crumbs of Comfort,,,2004-02-10,21,B,M,,B,,,,Pulpit,Pulpit,British Columbia (GB),British Columbia (GB),,,,,,0,,Midnight Storm,2021-05-15,"Taylor Made Sales Agency, Agent LXI ",,,,Borden Farm / John McKee,,,,7000.0,,,,,T,2004,0.0,pregnant,British Columbia (GB),Pulpit,
